["MlleGillenormand", "Valjean"]	
["MmeMagloire", "Valjean"]	
["MmeMagloire", "Myriel"]	
["MmeMagloire", "MlleBaptistine"]	
["Montparnasse", "Valjean"]	
["Napoleon", "Myriel"]	
["Fantine", "Valjean"]	
["Geborand", "Myriel"]	
["Judge", "Valjean"]	
["Marguerite", "Valjean"]	
["MmeDeR", "Valjean"]	
["Woman1", "Valjean"]	
["Cosette", "Valjean"]	
["Count", "Myriel"]	
["Gillenormand", "Valjean"]	
["Isabeau", "Valjean"]	
["MlleBaptistine", "Valjean"]	
["MlleBaptistine", "Myriel"]	
["MlleBaptistine", "MmeMagloire"]	
["Woman2", "Valjean"]	
["Labarre", "Valjean"]	
["Simplice", "Valjean"]	
["Babet", "Valjean"]	
["Myriel", "MlleBaptistine"]	
["Myriel", "MmeMagloire"]	
["Myriel", "Napoleon"]	
["Myriel", "OldMan"]	
["Myriel", "Count"]	
["Myriel", "Geborand"]	
["OldMan", "Myriel"]	
["Valjean", "MlleBaptistine"]	
["Valjean", "Labarre"]	
["Valjean", "MmeMagloire"]	
["Valjean", "Woman1"]	
["Valjean", "Montparnasse"]	
["Valjean", "Babet"]	
["Valjean", "MlleGillenormand"]	
["Valjean", "Gillenormand"]	
["Valjean", "Woman2"]	
["Valjean", "Judge"]	
["Valjean", "Simplice"]	
["Valjean", "Cosette"]	
["Valjean", "Fantine"]	
["Valjean", "Isabeau"]	
["Valjean", "MmeDeR"]	
["Valjean", "Marguerite"]	
